Country/Area,Year,Average length of stay
Total,2012,6.260393862
Total,2013,5.8329064
Total,2014,5.610486306
Total,2015,5.331830825
Total,2016,5.323637054
Total,2017,5.18307992
Total,2018,5.249222472
Total,2019,5.546032142
Total,2020,7.556610973
Total,2021,27.55623093
Total,2022,7.249690041
United States,2012,7.806555047
United States,2013,7.635099813
United States,2014,7.474500985
United States,2015,7.509409557
United States,2016,7.462644338
United States,2017,7.473185968
United States,2018,7.442987815
United States,2019,7.49578489
United States,2020,8.71492764
United States,2021,26.91565469
United States,2022,9.165445523